Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24
0,0,-13.288,-0.863781630344135,-1.92097878819436,-227.796610169492,-306.666666666667,-1000,-225,-220,-971.343414634146,-220,-220,-306.666666666667,-306.666666666667,-220,-245,-245,-653.333333333333,-941.053818181818,-970,-225,-928.385263157895,-964.190909090909
0,0,26.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.838181818182
6.712,20,20,19.4677740435604,18.8163735637216,484.406779661017,326.666666666667,1000,490,500,276.759024390244,500,500,326.666666666667,326.666666666667,500,490,490,326.666666666667,339.765818181818,1000,490,500,284.838181818182
6.712,20,6.712,19.372276030962,18.6039938949815,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,89.6763636363632
0,0,0,0,0,31.1864406779659,346.666666666667,0,20,0,20,0,0,346.666666666667,346.666666666667,0,0,0,0,0,0,19.9999999999999,0,0
-3.356,-10,-10,-10,-10,-10,-10,0,-10,-10,-9.99999999999994,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.468363636364,0,0,0,0
0,0,-13.288,0.793246423218651,1.76411433084888,-196.610169491526,40,-1000,-205,-220,-98.3795121951217,-220,-220,40.0000000000006,40,-220,-225,-225,-306.666666666667,-300.117090909091,-970,-205,-456.128421052631,-354.514545454544
0,0,13.288,0.697215617452471,1.55054977424151,484.406779661017,326.666666666667,500,490,500,703.240975609756,500,500,326.666666666667,326.666666666667,500,510,510,673.333333333334,980.702545454545,500,490,500,804.838181818182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.256842105263,0
0,0,0,-0.450420865925581,-1.00169869190023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-320.468363636363,0,0,0,0
0,0,0,0,0,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
0,0,0,-0.303873833531473,-0.675790232154753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,346.666666666667,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,426.481951219512,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.082603591902432,0.183703545316214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
